EnhanceID,EnhanceNum,GoldNum,SuccessPercent,ResultRewards
1001,1,300,100,100101
100101,1,500,100,100102
100102,1,700,100,100103
100103,1,1000,100,100104
100104,1,1500,80,100105
100105,1,2000,70,100106
100106,1,2500,60,100107
100107,1,3000,50,100108
100108,1,3500,40,100109
100109,1,4000,30,100110
100110,1,4500,25,100111
100111,1,5000,15,100112
100112,1,5500,14,100113
100113,1,6000,13,100114
100114,1,6500,12,100115
100115,1,7000,11,100116
100116,1,7500,10,100117
100117,1,8000,5,100118
100118,1,8500,3,100119
100119,1,9000,1,100120
