EnhanceID,EnhanceNum,GoldNum,SuccessPercent,ResultRewards
31001,1,300,100,3100101
3100101,2,500,100,3100102
3100102,3,700,100,3100103
3100103,4,1000,100,3100104
3100104,5,1500,80,3100105
3100105,6,2000,70,3100106
3100106,7,2500,60,3100107
3100107,8,3000,50,3100108
3100108,9,3500,40,3100109
3100109,10,4000,30,3100110
3100110,11,4500,25,3100111
3100111,12,5000,15,3100112
3100112,13,5500,14,3100113
3100113,14,6000,13,3100114
3100114,15,6500,12,3100115
3100115,16,7000,11,3100116
3100116,17,7500,10,3100117
3100117,18,8000,5,3100118
3100118,19,8500,3,3100119
3100119,20,9000,1,3100120
31002,1,300,100,3100201
3100201,2,500,100,3100202
3100202,3,700,100,3100203
3100203,4,1000,100,3100204
3100204,5,1500,80,3100205
3100205,6,2000,70,3100206
3100206,7,2500,60,3100207
3100207,8,3000,50,3100208
3100208,9,3500,40,3100209
3100209,10,4000,30,3100210
3100210,11,4500,25,3100211
3100211,12,5000,15,3100212
3100212,13,5500,14,3100213
3100213,14,6000,13,3100214
3100214,15,6500,12,3100215
3100215,16,7000,11,3100216
3100216,17,7500,10,3100217
3100217,18,8000,5,3100218
3100218,19,8500,3,3100219
3100219,20,9000,1,3100220
31003,1,300,100,3100301
3100301,2,500,100,3100302
3100302,3,700,100,3100303
3100303,4,1000,100,3100304
3100304,5,1500,80,3100305
3100305,6,2000,70,3100306
3100306,7,2500,60,3100307
3100307,8,3000,50,3100308
3100308,9,3500,40,3100309
3100309,10,4000,30,3100310
3100310,11,4500,25,3100311
3100311,12,5000,15,3100312
3100312,13,5500,14,3100313
3100313,14,6000,13,3100314
3100314,15,6500,12,3100315
3100315,16,7000,11,3100316
3100316,17,7500,10,3100317
3100317,18,8000,5,3100318
3100318,19,8500,3,3100319
3100319,20,9000,1,3100320
32004,1,300,100,3200401
3200401,2,500,100,3200402
3200402,3,700,100,3200403
3200403,4,1000,100,3200404
3200404,5,1500,80,3200405
3200405,6,2000,70,3200406
3200406,7,2500,60,3200407
3200407,8,3000,50,3200408
3200408,9,3500,40,3200409
3200409,10,4000,30,3200410
3200410,11,4500,25,3200411
3200411,12,5000,15,3200412
3200412,13,5500,14,3200413
3200413,14,6000,13,3200414
3200414,15,6500,12,3200415
3200415,16,7000,11,3200416
3200416,17,7500,10,3200417
3200417,18,8000,5,3200418
3200418,19,8500,3,3200419
3200419,20,9000,1,3200420
32005,1,300,100,3200501
3200501,2,500,100,3200502
3200502,3,700,100,3200503
3200503,4,1000,100,3200504
3200504,5,1500,80,3200505
3200505,6,2000,70,3200506
3200506,7,2500,60,3200507
3200507,8,3000,50,3200508
3200508,9,3500,40,3200509
3200509,10,4000,30,3200510
3200510,11,4500,25,3200511
3200511,12,5000,15,3200512
3200512,13,5500,14,3200513
3200513,14,6000,13,3200514
3200514,15,6500,12,3200515
3200515,16,7000,11,3200516
3200516,17,7500,10,3200517
3200517,18,8000,5,3200518
3200518,19,8500,3,3200519
3200519,20,9000,1,3200520
32006,1,300,100,3200601
3200601,2,500,100,3200602
3200602,3,700,100,3200603
3200603,4,1000,100,3200604
3200604,5,1500,80,3200605
3200605,6,2000,70,3200606
3200606,7,2500,60,3200607
3200607,8,3000,50,3200608
3200608,9,3500,40,3200609
3200609,10,4000,30,3200610
3200610,11,4500,25,3200611
3200611,12,5000,15,3200612
3200612,13,5500,14,3200613
3200613,14,6000,13,3200614
3200614,15,6500,12,3200615
3200615,16,7000,11,3200616
3200616,17,7500,10,3200617
3200617,18,8000,5,3200618
3200618,19,8500,3,3200619
3200619,20,9000,1,3200620
32007,1,300,100,3200701
3200701,2,500,100,3200702
3200702,3,700,100,3200703
3200703,4,1000,100,3200704
3200704,5,1500,80,3200705
3200705,6,2000,70,3200706
3200706,7,2500,60,3200707
3200707,8,3000,50,3200708
3200708,9,3500,40,3200709
3200709,10,4000,30,3200710
3200710,11,4500,25,3200711
3200711,12,5000,15,3200712
3200712,13,5500,14,3200713
3200713,14,6000,13,3200714
3200714,15,6500,12,3200715
3200715,16,7000,11,3200716
3200716,17,7500,10,3200717
3200717,18,8000,5,3200718
3200718,19,8500,3,3200719
3200719,20,9000,1,3200720
32008,1,300,100,3200801
3200801,2,500,100,3200802
3200802,3,700,100,3200803
3200803,4,1000,100,3200803
3200803,5,1500,80,3200804
3200804,6,2000,70,3200805
3200805,7,2500,60,3200806
3200806,8,3000,50,3200807
3200807,9,3500,40,3200808
3200808,10,4000,30,3200809
3200809,11,4500,25,3200810
3200810,12,5000,15,3200811
3200811,13,5500,14,3200812
3200812,14,6000,13,3200813
3200813,15,6500,12,3200814
3200814,16,7000,11,3200815
3200815,17,7500,10,3200816
3200816,18,8000,5,3200817
3200817,19,8500,3,3200819
3200819,20,9000,1,3200820
32009,1,300,100,3200901
3200901,2,500,100,3200902
3200902,3,700,100,3200903
3200903,4,1000,100,3200904
3200904,5,1500,80,3200905
3200905,6,2000,70,3200906
3200906,7,2500,60,3200907
3200907,8,3000,50,3200908
3200908,9,3500,40,3200909
3200909,10,4000,30,3200910
3200910,11,4500,25,3200911
3200911,12,5000,15,3200912
3200912,13,5500,14,3200913
3200913,14,6000,13,3200914
3200914,15,6500,12,3200915
3200915,16,7000,11,3200916
3200916,17,7500,10,3200917
3200917,18,8000,5,3200918
3200918,19,8500,3,3200919
3200919,20,9000,1,3200920
32010,1,300,100,3201001
3201001,2,500,100,3201002
3201002,3,700,100,3201003
3201003,4,1000,100,3201004
3201004,5,1500,80,3201005
3201005,6,2000,70,3201006
3201006,7,2500,60,3201007
3201007,8,3000,50,3201008
3201008,9,3500,40,3201009
3201009,10,4000,30,3201010
3201010,11,4500,25,3201011
3201011,12,5000,15,3201012
3201012,13,5500,14,3201013
3201013,14,6000,13,3201014
3201014,15,6500,12,3201015
3201015,16,7000,11,3201016
3201016,17,7500,10,3201017
3201017,18,8000,5,3201018
3201018,19,8500,3,3201019
3201019,20,9000,1,320120
32011,1,300,100,3201101
3201101,2,500,100,3201102
3201102,3,700,100,3201103
3201103,4,1000,100,3201104
3201104,5,1500,80,3201105
3201105,6,2000,70,3201106
3201106,7,2500,60,3201107
3201107,8,3000,50,3201108
3201108,9,3500,40,3201109
3201109,10,4000,30,3201110
3201110,11,4500,25,3201111
3201111,12,5000,15,3201112
3201112,13,5500,14,3201113
3201113,14,6000,13,3201114
3201114,15,6500,12,3201115
3201115,16,7000,11,3201116
3201116,17,7500,10,3201117
3201117,18,8000,5,3201118
3201118,19,8500,3,3201119
3201119,20,9000,1,3201120
32012,1,300,100,3201201
3201201,2,500,100,3201202
3201202,3,700,100,3201203
3201203,4,1000,100,3201204
3201204,5,1500,80,3201205
3201205,6,2000,70,3201206
3201206,7,2500,60,3201207
3201207,8,3000,50,3201208
3201208,9,3500,40,3201209
3201209,10,4000,30,3201210
3201210,11,4500,25,3201211
3201211,12,5000,15,3201212
3201212,13,5500,14,3201213
3201213,14,6000,13,3201214
3201214,15,6500,12,3201215
3201215,16,7000,11,3201216
3201216,17,7500,10,3201217
3201217,18,8000,5,3201218
3201218,19,8500,3,3201219
3201219,20,9000,1,3201220
32013,1,300,100,3201301
3201301,2,500,100,3201302
3201302,3,700,100,3201303
3201303,4,1000,100,3201304
3201304,5,1500,80,3201305
3201305,6,2000,70,3201306
3201306,7,2500,60,3201307
3201307,8,3000,50,3201308
3201308,9,3500,40,3201309
3201309,10,4000,30,3201310
3201310,11,4500,25,3201311
3201311,12,5000,15,3201312
3201312,13,5500,14,3201313
3201313,14,6000,13,3201314
3201314,15,6500,12,3201315
3201315,16,7000,11,3201316
