EnhanceID,EnhanceNum,GoldNum,SuccessPercent,ResultRewards
7001,1,300,100,700101
700101,1,500,100,700102
700102,1,700,100,700103
700103,1,1000,100,700104
700104,1,1500,80,700105
700105,1,2000,70,700106
700106,1,2500,60,700107
700107,1,3000,50,700108
700108,1,3500,40,700109
700109,1,4000,30,700110
700110,1,4500,25,700111
700111,1,5000,15,700112
700112,1,5500,14,700113
700113,1,6000,13,700114
700114,1,6500,12,700115
700115,1,7000,11,700116
700116,1,7500,10,700117
700117,1,8000,5,700118
700118,1,8500,3,700119
700119,1,9000,1,700120
7002,1,300,100,700201
700201,1,500,100,700202
700202,1,700,100,700203
700203,1,1000,100,700204
700204,1,1500,80,700205
700205,1,2000,70,700206
700206,1,2500,60,700207
700207,1,3000,50,700208
700208,1,3500,40,700209
700209,1,4000,30,700210
700210,1,4500,25,700211
700211,1,5000,15,700212
700212,1,5500,14,700213
700213,1,6000,13,700214
700214,1,6500,12,700215
700215,1,7000,11,700216
700216,1,7500,10,700217
700217,1,8000,5,700218
700218,1,8500,3,700219
700219,1,9000,1,700220
7003,1,300,100,700301
700301,1,500,100,700302
700302,1,700,100,700303
700303,1,1000,100,700304
700304,1,1500,80,700305
700305,1,2000,70,700306
700306,1,2500,60,700307
700307,1,3000,50,700308
700308,1,3500,40,700309
700309,1,4000,30,700310
700310,1,4500,25,700311
700311,1,5000,15,700312
700312,1,5500,14,700313
700313,1,6000,13,700314
700314,1,6500,12,700315
700315,1,7000,11,700316
700316,1,7500,10,700317
700317,1,8000,5,700318
700318,1,8500,3,700319
700319,1,9000,1,700320
7004,1,300,100,700401
700401,1,500,100,700402
700402,1,700,100,700403
700403,1,1000,100,700404
700404,1,1500,80,700405
700405,1,2000,70,700406
700406,1,2500,60,700407
700407,1,3000,50,700408
700408,1,3500,40,700409
700409,1,4000,30,700410
700410,1,4500,25,700411
700411,1,5000,15,700412
700412,1,5500,14,700413
700413,1,6000,13,700414
700414,1,6500,12,700415
700415,1,7000,11,700416
700416,1,7500,10,700417
700417,1,8000,5,700418
700418,1,8500,3,700419
700419,1,9000,1,700420
